rank_in_observation,observed_share_exact,shifted_share_exact
140,112717504288373/88836216831666463,568234919542882825402848269767/529766406503445808410192249874040
141,112712962751992/88836216831666463,71026503076400091233578088821/66220800812930726051274031234255
142,112710446104290/88836216831666463,56819933761006907632903189791/52976640650344580841019224987404
143,6629599016735/5225659813627439,113632544812292869133280397921/105953281300689161682038449974808
144,111706887553179/88836216831666463,563140167642215608552159192041/529766406503445808410192249874040
145,103642961434582/88836216831666463,261244028706022277274250112089/264883203251722904205096124937020
146,103431671162951/88836216831666463,521422894452143748864436305229/529766406503445808410192249874040
147,102726339448961/88836216831666463,517867154708964446796256371019/529766406503445808410192249874040
148,101759844922378/88836216831666463,256497416515849380658518595831/264883203251722904205096124937020
149,100106990217774/88836216831666463,252331205748425521167169459773/264883203251722904205096124937020
150,76201695268729/88836216831666463,384150309691730939315263125491/529766406503445808410192249874040
151,7867420397760/88836216831666463,141648141423342507507572568/1892022880369449315750686606693
152,214832490766/88836216831666463,541510051505848512062444557/264883203251722904205096124937020
153,119094738809/88836216831666463,600384028659632280977229811/529766406503445808410192249874040
154,59595930424/88836216831666463,37554602702752155496504237/66220800812930726051274031234255
155,59567625349/88836216831666463,300294129214863412508900471/529766406503445808410192249874040
156,59524156945/88836216831666463,60014998994240465850261631/105953281300689161682038449974808
157,59405174446/88836216831666463,149737588384645093233713917/264883203251722904205096124937020
158,34151850047/88836216831666463,24595335399662035318721059/75680915214777972630027464267720
159,31753079707/88836216831666463,160074593617551179755576553/529766406503445808410192249874040
160,31741430925/88836216831666463,32003173884508818550322115/105953281300689161682038449974808
161,31739492311/88836216831666463,160006096422536068825580669/529766406503445808410192249874040
162,20708924940/88836216831666463,5219923192672364944167213/26488320325172290420509612493702
163,18901551036/88836216831666463,23821768854771069352041861/132441601625861452102548062468510
164,17597610487/88836216831666463,88713610564378945396446173/529766406503445808410192249874040
165,17580493265/88836216831666463,17725463740580598048669887/105953281300689161682038449974808
166,16195589615/88836216831666463,16329140038950220423609217/105953281300689161682038449974808
167,11926517208/88836216831666463,7515540275777017231859529/66220800812930726051274031234255
